country,life_exp,gdp,population,lib_dem
Albania,78.33300018310547,4864.310546875,2.884169101715088,0.4600000083446502
Algeria,76.4990005493164,4792.38720703125,41.389190673828125,0.13600000739097595
Angola,60.37900161743164,3409.930419921875,29.8167667388916,0.16899999976158142
Azerbaijan,72.69300079345703,5764.6923828125,9.845319747924805,0.0689999982714653
Argentina,76.37200164794922,10419.455078125,43.93714141845703,0.5960000157356262
Australia,82.5,56058.46484375,24.584619522094727,0.8149999976158142
Austria,81.64390563964844,49031.10546875,8.819901466369629,0.7580000162124634
Bahrain,77.03199768066406,22167.078125,1.4940760135650637,0.0390000008046627
Bangladesh,72.052001953125,1127.2716064453125,159.6854248046875,0.13699999451637268
Armenia,74.7969970703125,4198.794921875,2.944791078567505,0.22599999606609344
Barbados,78.98100280761719,16254.240234375,0.28623199462890625,0.6679999828338623
Belgium,81.49268341064453,46409.12890625,11.419748306274414,0.800000011920929
Bhutan,71.128997802734375,3072.020263671875,0.7455629706382751,0.4729999899864197
Bolivia,70.94499969482422,2490.956298828125,11.19285488128662,0.40400001406669617
Bosnia and Herzegovina,77.12799835205078,5828.71630859375,3.351525068283081,0.3849999904632568
Botswana,68.81199645996094,7859.1689453125,2.205080032348633,0.5640000104904175
Brazil,75.45600128173828,11021.71875,207.8338165283203,0.6050000190734863
Bulgaria,74.81463623046875,8353.9677734375,7.102444171905518,0.5600000023841858
Myanmar,66.55799865722656,1482.6627197265625,53.38252258300781,0.21400000154972076
Burundi,60.89799880981445,214.1392517089844,10.827018737792969,0.04699999839067459
Belarus,74.12926483154297,6375.2890625,9.450230598449709,0.11100000143051147
Cambodia,69.28900146484375,1135.8443603515625,16.009408950805664,0.0820000022649765
Cameroon,58.51100158691406,1481.73193359375,24.566072463989254,0.12999999523162842
Canada,81.94878387451172,51170.4765625,36.73209381103515,0.7860000133514404
Cape Verde,72.56999969482422,3619.62109375,0.5374979972839355,0.7409999966621399
Central African Republic,52.2400016784668,371.1087951660156,4.596023082733154,0.2460000067949295
Sri Lanka,76.64800262451172,3860.150390625,21.128032684326172,0.45399999618530273
Chad,53.71200180053711,817.5341186523436,15.016753196716309,0.0949999988079071
Chile,79.90899658203125,14741.1923828125,18.470439910888672,0.8199999928474426
China,76.470001220703125,7346.83642578125,1421.0218505859375,0.05000000074505806
Colombia,76.92500305175781,7620.916015625,48.90983963012695,0.5210000276565552
Comoros,63.9119987487793,1386.92236328125,0.8138920068740845,0.2440000027418137
Congo,63.95399856567383,2520.618408203125,5.110694885253906,0.10300000011920928
"Congo, Democratic Republic",60.0260009765625,408.9248046875,81.39876556396484,0.12200000137090684
Costa Rica,79.91400146484375,9775.8505859375,4.949954032897949,0.8090000152587891
Croatia,77.82682800292969,15396.80078125,4.182857036590576,0.5479999780654907
Cyprus (1975-),80.6719970703125,30650.244140625,0.8548020124435425,0.7559999823570251
Czech Republic,78.9780502319336,23144.408203125,10.641034126281738,0.7450000047683716
Benin,61.17399978637695,1166.7606201171875,11.17519760131836,0.628000020980835
Denmark,81.1024398803711,63216,5.732274055480957,0.8659999966621399
Dominican Republic,73.68900299072266,7273.35400390625,10.513104438781738,0.27399998903274536
Ecuador,76.58399963378906,5205.76318359375,16.78536033630371,0.34299999475479126
El Salvador,72.87200164794922,3441.313232421875,6.388125896453857,0.48500001430511475
Equatorial Guinea,58.06100082397461,11225.3720703125,1.2620019912719729,0.05000000074505806
Ethiopia (1993-),65.87200164794922,548.41949462890625,106.3999252319336,0.0989999994635582
Estonia,78.092681884765625,19167.521484375,1.319390058517456,0.8650000095367432
Fiji,67.25199890136719,4650.3017578125,0.8774589896202087,0.30799999833106995
Finland,81.63170623779297,48213.3828125,5.51137113571167,0.828000009059906
France (1963-),82.57560729980469,43015.2109375,67.02240753173828,0.7870000004768372
Gabon,65.83899688720703,9212.3193359375,2.0648229122161865,0.2540000081062317
Georgia,73.41400146484375,4512.76123046875,4.008716106414795,0.5320000052452087
Gambia,61.439998626708984,760.12469482421875,2.2138888835906982,0.2919999957084656
Germany,80.99268341064453,46862.04296875,82.65840911865234,0.8080000281333923
Ghana,63.4630012512207,1739.467529296875,29.1214656829834,0.6520000100135803
Greece,81.28780364990234,23052.986328125,10.569450378417969,0.7850000262260437
Guatemala,73.80999755859375,3286.7412109375,16.91497039794922,0.47600001096725464
Guinea,60.70600128173828,869.01898193359375,12.067519187927246,0.193000003695488
Guyana,69.6240005493164,5604.56494140625,0.7752220034599304,0.47699999809265137
Haiti,63.290000915527344,1277.3743896484375,10.982365608215332,0.24300000071525577
Honduras,74.89800262451172,2176.295166015625,9.4290132522583,0.23399999737739563
Hungary,75.81707000732422,15912.0146484375,9.729823112487791,0.4690000116825104
Iceland,82.66097259521484,51045.94140625,0.3343929946422577,0.8159999847412109
India,69.16500091552734,1986.6329345703125,1338.6767578125,0.3930000066757202
Indonesia,71.28199768066406,4120.52197265625,264.6509704589844,0.5199999809265137
Iran,76.27100372314453,6948.705078125,80.67388153076172,0.15199999511241913
Iraq,70.29399871826172,5635.6591796875,37.55278015136719,0.2750000059604645
Ireland,82.156097412109375,71755.96875,4.753279209136963,0.7940000295639038
Israel,82.55121612548828,34243.01171875,8.243847846984863,0.5789999961853027
Italy,82.94634246826172,35086.4765625,60.673702239990234,0.8159999847412109
Cote d'Ivoire,57.016998291015625,1600.7652587890625,24.437469482421875,0.3799999952316284
Jamaica,74.266998291015625,4785.6533203125,2.9208478927612305,0.7229999899864197
Japan,84.0997543334961,48510.609375,127.50272369384766,0.7300000190734863
